ID;Zitat;Person
1;Wissenschaft ohne Religion ist lahm, Religion ohne Wissenschaft ist blind.;Albert Einstein
2;Die Naturwissenschaft braucht der Mensch zum Erkennen, den Glauben zum Handeln.;Max Planck
3;Ohne Spekulation gibt es keine neue Beobachtung.;Charles Darwin
4;Es gibt kein großes Genie ohnen einen Schuss Verrücktheit.;Aristoteles
5;Eine Investition in Wissen bringt noch immer die besten Zinsen.;Benjamin Franklin
6;Was wir wissen, ist ein Tropfen, was wir nicht wissen, ein Ozean.;Isaac Newton
7;Gegenüber jeder Aktion steht eine Reaktion.;Isaac Newton
8;Ich würde die Freude über eine Entdeckung nicht mit Sex vergleichen, denn sie dauert länger.;Stephen Hawking
9;Ich habe keine Ahnung, wie hoch mein IQ ist. Leute, die mit ihrem IQ prahlen, sind Verlierer.;Stephen Hawking
10;Wenn ich 1000 Ideen hätte und nur eine sich als gut erweisen würde, wäre ich zufrieden.;Alfred Nobel
11;Man muss nichts im Leben fürchten, man muss nur alles verstehen.;Marie Curie
12;Es ist mein Job, nie zufrieden zu sein.;Wernher von Braun
13;Das Ergebnis habe ich schon, jetzt brauche ich nur noch den Weg, der zu ihm führt.;Carl Friedrich Gauß
14;Ich weiß, dass ich nicht weiß.;Sokrates
15;Gibt mir einen Punkt, wo ich hintreten kann, und ich bewege die Erde.;Archimedes
16;Das, wobei unsere Berechnungen versagen, nennen wir Zufall.;Albert Einstein
17;Uns gehört nur die Stunde. Und eine Stunde, wenn sie glücklich ist, ist viel.;Theodor Fontane
18;Die meisten Probleme entstehen bei ihrer Lösung.;Leonardo da Vinci
19;Die Praxis sollte das Ergebnis des Nachdenkens sein, nicht umgekehrt.;Hermann Hesse
20;Wer die Geometrie begreift, vermag in dieser Welt alles zu verstehen.;Galileo Galilei

